Classifier,covertype,elec,poker,weather,gmsc,moving_squares,mixed_a,mixed_g,Hyperplane Generator,led_a,led_g,rand_tree,rbf_if,rbf_im,sea_a,sea_g,Sine Generator_Sine Generator_1000_1,Sine Generator_Sine Generator_1000_1000,Stagger Generator_Stagger Generator_1000_1,Stagger Generator_Stagger Generator_1000_1000,SEA Generator_SEA Generator_1000_1,SEA Generator_SEA Generator_1000_1000,Mixed Generator_Mixed Generator_1000_1,Mixed Generator_Mixed Generator_1000_1000,Hyperplane Generator,Mixed Generator_Mixed Generator_1000_1,Mixed Generator_Mixed Generator_1000_1000,Led Generator with drift_Led Generator with drift_1000_1,Led Generator with drift_Led Generator with drift_1000_1000,SEA Generator_SEA Generator_1000_1,SEA Generator_SEA Generator_1000_50000
RSLVQ,15755.0363,163.2545,28670.9713,65.7568,439.7732,1976.3454,3245.1336,3201.9472,2940.9242,29325.8664,29407.5687,3201.1821,2888.6743,2918.0457,3176.7915,3213.1375,3197.8631,3207.4241,3236.64,3248.331,3241.1367,3234.8246,3245.3233,3228.6007,2925.4068,3225.5557,3263.9647,29079.4006,30441.4673,3306.4916,3228.4799
ARSLVQ,21345.0782,185.1871,29768.1174,69.9394,875.3312,2123.3909,4868.988,4832.9974,5549.8304,32738.2383,32644.6013,15085.6913,5294.0086,5599.8604,4284.4767,4289.6317,4063.3202,4051.6209,4790.2352,4756.9673,4261.1021,4314.9156,4897.6133,4866.3992,5588.4929,4921.9926,4907.034,32660.9437,31225.9923,4414.3403,4322.9783
OzaBaggingAdwin,7809.7806,204.2721,4588.5569,85.1534,600.3218,889.8718,5891.8935,5894.2903,5756.8745,7251.2891,7150.24,10150.9801,5281.46,5149.274,4367.9591,4494.7515,4255.8583,4311.5064,4888.6228,4839.6236,4369.0331,4348.7662,5293.0624,4817.4469,4825.0421,4643.597,4595.5188,5572.9778,5276.7456,3593.5253,3614.0541
