Classifier,covertype,elec,poker,weather,gmsc,moving_squares,mixed_a,mixed_g,Hyperplane Generator,led_a,led_g,rand_tree,rbf_if,rbf_im,sea_a,sea_g,Sine Generator_Sine Generator_1000_1,Sine Generator_Sine Generator_1000_1000,Stagger Generator_Stagger Generator_1000_1,Stagger Generator_Stagger Generator_1000_1000,SEA Generator_SEA Generator_1000_1,SEA Generator_SEA Generator_1000_1000,Mixed Generator_Mixed Generator_1000_1,Mixed Generator_Mixed Generator_1000_1000,Hyperplane Generator,Mixed Generator_Mixed Generator_1000_1,Mixed Generator_Mixed Generator_1000_1000,Led Generator with drift_Led Generator with drift_1000_1,Led Generator with drift_Led Generator with drift_1000_1000,SEA Generator_SEA Generator_1000_1,SEA Generator_SEA Generator_1000_50000
RSLVQ,0.2384,0.0867,0.1112,0.0623,0.0636,0.0386,0.0396,0.0396,0.068,0.0288,0.0294,0.0369,0.0428,0.0415,0.0407,0.0393,0.0657,0.0652,0.0757,0.0757,0.0805,0.0184,0.0652,0.0653,0.068,0.0652,0.0652,0.0287,0.0287,0.0806,0.0399
ARSLVQ,0.2384,0.0968,0.2911,0.0609,0.0443,0.1418,0.0526,0.053,0.0398,0.0488,0.05,0.0425,0.0576,0.0531,0.0736,0.0632,0.3154,0.3152,0.1271,0.1263,0.0908,0.0803,0.2444,0.24,0.0397,0.2445,0.2401,0.0474,0.0506,0.0918,0.0646
OzaBaggingAdwin,0.0758,0.0744,0.1009,0.0614,0.0199,0.0968,0.0234,0.0234,0.0386,0.0284,0.0285,0.0347,0.0204,0.0222,0.0239,0.0244,0.3042,0.3052,0.2215,0.2215,0.0434,0.0227,0.2964,0.2973,0.0364,0.2966,0.297,0.0283,0.0282,0.0425,0.0253
