Classifier,covertype,elec,poker,weather,gmsc,moving_squares,mixed_a,mixed_g,Hyperplane Generator,led_a,led_g,rand_tree,rbf_if,rbf_im,sea_a,sea_g,Mixed Generator_Mixed Generator_1000_1,Mixed Generator_Mixed Generator_1000_1000,Led Generator with drift_Led Generator with drift_1000_1,Led Generator with drift_Led Generator with drift_1000_1000,SEA Generator_SEA Generator_1000_1,SEA Generator_SEA Generator_1000_50000
AdaptiveRandomForest,0.0153,0.1141,0.0449,0.1198,0.0023,0.1299,0.0105,0.0228,0.0772,0.002,0.003,0.0488,0.0198,0.0652,0.0102,0.0128,0.0273,0.0205,0.0016,0.0011,0.0174,0.0283
SAMKNN,0.024,0.0433,0.0086,0.0083,0.0024,0.0012,0.005,0.005,0.0066,0.0013,0.0018,0.0084,0.0013,0.0052,0.0019,0.0017,0.006,0.006,0.0006,0.003,0.0039,0.0029
HAT,0.0463,0.0291,0.0171,0.0243,0.0109,0.0129,0.0204,0.0204,0.0043,0.0031,0.0029,0.0019,0.0037,0.008,0.0051,0.0054,0.0194,0.0194,0.003,0.0009,0.0052,0.0058
