Classifier,covertype,elec,poker,weather,gmsc,moving_squares,mixed_a,mixed_g,Hyperplane Generator,led_a,led_g,rand_tree,rbf_if,rbf_im,sea_a,sea_g,Sine Generator_Sine Generator_1000_1,Sine Generator_Sine Generator_1000_1000,Stagger Generator_Stagger Generator_1000_1,Stagger Generator_Stagger Generator_1000_1000,SEA Generator_SEA Generator_1000_1,SEA Generator_SEA Generator_1000_1000,Mixed Generator_Mixed Generator_1000_1,Mixed Generator_Mixed Generator_1000_1000,Hyperplane Generator,Mixed Generator_Mixed Generator_1000_1,Mixed Generator_Mixed Generator_1000_1000,Led Generator with drift_Led Generator with drift_1000_1,Led Generator with drift_Led Generator with drift_1000_1000,SEA Generator_SEA Generator_1000_1,SEA Generator_SEA Generator_1000_50000
RSLVQ,0.0606,0.0439,0.0129,0.0362,0.01,0.0121,0.0031,0.0029,0.0056,0.0011,0.0032,0.0012,0.0028,0.0045,0.002,0.0023,0.0043,0.0041,0.0067,0.0066,0.0735,0.0019,0.0029,0.0035,0.0056,0.0029,0.0034,0.0015,0.0028,0.0736,0.0027
ARSLVQ,0.0606,0.0472,0.026,0.0133,0.0401,0.0173,0.0161,0.0185,0.0088,0.0102,0.0081,0.0035,0.0071,0.0084,0.0144,0.0132,0.0102,0.0211,0.0095,0.0121,0.0452,0.0041,0.0097,0.0082,0.0087,0.0097,0.0082,0.0108,0.0071,0.0469,0.0056
OzaBaggingAdwin,0.0371,0.0223,0.0155,0.0412,0.0028,0.0175,0.0138,0.0138,0.015,0.0018,0.0012,0.0038,0.0057,0.009,0.0058,0.0057,0.0217,0.0216,0.0154,0.0154,0.0357,0.0079,0.0201,0.0172,0.0086,0.0181,0.0169,0.003,0.0016,0.0324,0.006
