Classifier,covertype,elec,poker,weather,gmsc,moving_squares,mixed_a,mixed_g,Hyperplane Generator,led_a,led_g,rand_tree,rbf_if,rbf_im,sea_a,sea_g,Sine Generator_Sine Generator_1000_1,Sine Generator_Sine Generator_1000_1000,Stagger Generator_Stagger Generator_1000_1,Stagger Generator_Stagger Generator_1000_1000,SEA Generator_SEA Generator_1000_1,SEA Generator_SEA Generator_1000_1000,Mixed Generator_Mixed Generator_1000_1,Mixed Generator_Mixed Generator_1000_1000,Hyperplane Generator,Mixed Generator_Mixed Generator_1000_1,Mixed Generator_Mixed Generator_1000_1000,Led Generator with drift_Led Generator with drift_1000_1,Led Generator with drift_Led Generator with drift_1000_1000,SEA Generator_SEA Generator_1000_1,SEA Generator_SEA Generator_1000_50000
RSLVQ,0.0,0.2158,0.4969,0.268,-0.0019,0.112,0.4643,0.4643,0.0508,0.0989,0.0996,0.1315,0.1861,0.1601,0.5434,0.5905,0.2998,0.2989,0.6244,0.6245,0.8955,0.8955,0.4124,0.4123,0.0446,0.4124,0.4123,0.0993,0.0987,0.5499,0.5748
ARSLVQ,0.0,0.2616,0.0,0.1761,-0.004,0.2033,0.6954,0.6912,0.196,0.0875,0.0846,0.2574,0.2457,0.2441,0.4583,0.6069,0.2904,0.305,0.2849,0.2893,0.7131,0.7136,0.2792,0.2701,0.2255,0.2763,0.2821,0.0884,0.0842,0.4933,0.5774
OzaBaggingAdwin,0.8233,0.4609,0.6162,0.47,0.0026,0.2054,0.9505,0.9505,0.1462,0.1106,0.1114,0.1723,0.8658,0.9063,0.7082,0.7376,0.0928,0.0936,0.3381,0.3381,0.8851,0.8851,0.088,0.088,0.1783,0.088,0.088,0.1112,0.1111,0.6923,0.7225
