Classifier,covertype,elec,poker,weather,gmsc,moving_squares,mixed_a,mixed_g,Hyperplane Generator,led_a,led_g,rand_tree,rbf_if,rbf_im,sea_a,sea_g,Mixed Generator_Mixed Generator_1000_1,Mixed Generator_Mixed Generator_1000_1000,Led Generator with drift_Led Generator with drift_1000_1,Led Generator with drift_Led Generator with drift_1000_1000,SEA Generator_SEA Generator_1000_1,SEA Generator_SEA Generator_1000_50000
AdaptiveRandomForest,0.6992,0.805,0.8053,0.6907,0.9306,0.5283,0.931,0.9157,0.5211,0.1998,0.2,0.5675,0.7493,0.77,0.8867,0.8771,0.8505,0.8824,0.2006,0.1991,0.869,0.8555
SAMKNN,0.8937,0.7225,0.795,0.7786,0.9275,0.966,0.9896,0.9896,0.5601,0.1995,0.1991,0.7008,0.9371,0.9389,0.8898,0.8869,0.8536,0.8536,0.2,0.1989,0.8784,0.8808
HAT,0.8222,0.7738,0.6455,0.6763,0.8802,0.7293,0.8696,0.8696,0.6221,0.1999,0.2,0.6582,0.6242,0.7344,0.8363,0.8295,0.5288,0.5288,0.1995,0.1997,0.8312,0.8273
