Classifier,covertype,elec,poker,weather,gmsc,moving_squares,mixed_a,mixed_g,Hyperplane Generator,led_a,led_g,rand_tree,rbf_if,rbf_im,sea_a,sea_g,Mixed Generator_Mixed Generator_1000_1,Mixed Generator_Mixed Generator_1000_1000,Led Generator with drift_Led Generator with drift_1000_1,Led Generator with drift_Led Generator with drift_1000_1000,SEA Generator_SEA Generator_1000_1,SEA Generator_SEA Generator_1000_50000
AdaptiveRandomForest,20.6222,12.5112,402.5163,16.0312,1361.8482,57.6292,16.2538,33.77,85.5045,11020.4724,10652.1444,32.6153,35.605,20.4171,271.6046,63.244,66.6855,42.4534,12075.5463,12445.1082,30.7898,23.6405
SAMKNN,3592.8898,72.3249,1804.1759,27.6098,702.0698,284.3526,5456.9513,5428.0095,1079.9925,617.1856,621.4165,2167.0396,5047.147,5575.6641,2761.2874,2554.8682,1556.2505,1532.7247,607.8511,606.0441,2595.6118,2477.7586
HAT,1045.186,21.7744,2068.5572,11.7975,67.8861,91.1979,461.3584,463.973,793.3456,611.6642,592.0028,1666.304,792.293,769.3293,420.4888,422.2475,493.8758,492.5557,572.0923,563.5348,405.0114,409.9662
