Classifier,covertype,elec,poker,weather,gmsc,moving_squares,mixed_a,mixed_g,Hyperplane Generator,led_a,led_g,rand_tree,rbf_if,rbf_im,sea_a,sea_g,Sine Generator_Sine Generator_1000_1,Sine Generator_Sine Generator_1000_1000,Stagger Generator_Stagger Generator_1000_1,Stagger Generator_Stagger Generator_1000_1000,SEA Generator_SEA Generator_1000_1,SEA Generator_SEA Generator_1000_1000,Mixed Generator_Mixed Generator_1000_1,Mixed Generator_Mixed Generator_1000_1000,Hyperplane Generator,Mixed Generator_Mixed Generator_1000_1,Mixed Generator_Mixed Generator_1000_1000,Led Generator with drift_Led Generator with drift_1000_1,Led Generator with drift_Led Generator with drift_1000_1000,SEA Generator_SEA Generator_1000_1,SEA Generator_SEA Generator_1000_50000
RSLVQ,0.3626,0.1101,0.7102,0.4899,-2.1638,0.112,0.4989,0.499,0.0485,0.0989,0.0994,0.2378,0.1662,0.2907,0.3707,0.5135,0.2993,0.2984,0.5062,0.5062,0.8665,0.8665,0.4129,0.4129,0.0427,0.4129,0.4129,0.0995,0.098,0.3998,0.4745
ARSLVQ,0.3626,0.1486,0.498,0.5,-0.3066,0.2033,0.7142,0.7103,0.1989,0.0874,0.0847,0.2314,0.0982,0.0469,0.1347,0.5159,0.2899,0.3045,-0.0142,-0.0089,0.6061,0.607,0.2799,0.2708,0.224,0.277,0.2828,0.0887,0.0837,0.24,0.448
OzaBaggingAdwin,0.8878,0.3882,0.6538,0.6831,-0.0401,0.2054,0.9537,0.9537,0.1472,0.1109,0.1112,0.0088,0.8414,0.8846,0.6105,0.6901,0.0921,0.0929,0.1259,0.1259,0.8537,0.8537,0.0888,0.0888,0.1767,0.0888,0.0888,0.1109,0.1109,0.5989,0.6605
