Classifier,covertype,elec,poker,weather,gmsc,moving_squares,mixed_a,mixed_g,Hyperplane Generator,led_a,led_g,rand_tree,rbf_if,rbf_im,sea_a,sea_g,Mixed Generator_Mixed Generator_1000_1,Mixed Generator_Mixed Generator_1000_1000,Led Generator with drift_Led Generator with drift_1000_1,Led Generator with drift_Led Generator with drift_1000_1000,SEA Generator_SEA Generator_1000_1,SEA Generator_SEA Generator_1000_50000
AdaptiveRandomForest,0.699,0.8558,0.8071,0.7392,0.9306,0.5114,0.9344,0.9115,0.5091,0.1998,0.2,0.5827,0.7457,0.7983,0.8866,0.8764,0.8492,0.8816,0.2006,0.1991,0.8668,0.851
SAMKNN,0.8937,0.7252,0.7951,0.7784,0.9275,0.9659,0.9896,0.9896,0.5602,0.1995,0.1992,0.7008,0.9371,0.9389,0.8898,0.8869,0.8535,0.8535,0.2,0.199,0.8784,0.8808
HAT,0.8221,0.7745,0.6455,0.6771,0.8802,0.7296,0.8697,0.8697,0.622,0.2,0.1999,0.6582,0.6242,0.7344,0.8362,0.8295,0.5288,0.5288,0.1995,0.1997,0.8312,0.8273
