Classifier,covertype,elec,poker,weather,gmsc,moving_squares,mixed_a,mixed_g,Hyperplane Generator,led_a,led_g,rand_tree,rbf_if,rbf_im,sea_a,sea_g,Sine Generator_Sine Generator_1000_1,Sine Generator_Sine Generator_1000_1000,Stagger Generator_Stagger Generator_1000_1,Stagger Generator_Stagger Generator_1000_1000,SEA Generator_SEA Generator_1000_1,SEA Generator_SEA Generator_1000_1000,Mixed Generator_Mixed Generator_1000_1,Mixed Generator_Mixed Generator_1000_1000,Hyperplane Generator,Mixed Generator_Mixed Generator_1000_1,Mixed Generator_Mixed Generator_1000_1000,Led Generator with drift_Led Generator with drift_1000_1,Led Generator with drift_Led Generator with drift_1000_1000,SEA Generator_SEA Generator_1000_1,SEA Generator_SEA Generator_1000_50000
RSLVQ,0.3647,0.6223,0.7206,0.6502,0.7802,0.334,0.7334,0.7334,0.5254,0.1891,0.1897,0.5769,0.5939,0.5992,0.8077,0.8033,0.6499,0.6495,0.8357,0.8358,0.9517,0.9517,0.7062,0.7062,0.5223,0.7062,0.7061,0.1894,0.1888,0.8029,0.8005
ARSLVQ,0.3647,0.6386,0.5012,0.6571,0.9092,0.4025,0.8479,0.8459,0.598,0.1787,0.1761,0.629,0.6278,0.6303,0.7356,0.8043,0.6452,0.6525,0.6627,0.6644,0.8575,0.8579,0.6396,0.635,0.6128,0.6381,0.6411,0.1796,0.1758,0.7505,0.7905
OzaBaggingAdwin,0.8882,0.7403,0.7904,0.7827,0.9277,0.404,0.9754,0.9754,0.5731,0.1996,0.2002,0.656,0.9353,0.9557,0.881,0.8747,0.5464,0.5468,0.7093,0.7093,0.9471,0.9471,0.544,0.544,0.5891,0.544,0.544,0.2001,0.2,0.8683,0.8711
