Classifier,covertype,elec,poker,weather,gmsc,moving_squares,mixed_a,mixed_g,Hyperplane Generator,led_a,led_g,rand_tree,rbf_if,rbf_im,sea_a,sea_g,Sine Generator_Sine Generator_1000_1,Sine Generator_Sine Generator_1000_1000,Stagger Generator_Stagger Generator_1000_1,Stagger Generator_Stagger Generator_1000_1000,SEA Generator_SEA Generator_1000_1,SEA Generator_SEA Generator_1000_1000,Mixed Generator_Mixed Generator_1000_1,Mixed Generator_Mixed Generator_1000_1000,Hyperplane Generator,Mixed Generator_Mixed Generator_1000_1,Mixed Generator_Mixed Generator_1000_1000,Led Generator with drift_Led Generator with drift_1000_1,Led Generator with drift_Led Generator with drift_1000_1000,SEA Generator_SEA Generator_1000_1,SEA Generator_SEA Generator_1000_50000
RSLVQ,0.3647,0.6195,0.7205,0.6474,0.7804,0.3339,0.7334,0.7335,0.5238,0.1891,0.1897,0.5769,0.5939,0.5992,0.8077,0.8034,0.6499,0.6494,0.8357,0.8358,0.8786,0.9517,0.7062,0.7061,0.5238,0.7062,0.7062,0.1893,0.1888,0.8774,0.8006
ARSLVQ,0.3647,0.6358,0.5011,0.6565,0.909,0.4024,0.8478,0.8458,0.6051,0.1787,0.1762,0.629,0.6278,0.6303,0.7356,0.8043,0.6452,0.6525,0.6627,0.6645,0.8089,0.8579,0.6387,0.6383,0.6059,0.6388,0.638,0.1796,0.1759,0.7951,0.7905
OzaBaggingAdwin,0.8879,0.7415,0.7902,0.7784,0.9277,0.4039,0.9753,0.9753,0.5803,0.1996,0.2002,0.656,0.9352,0.9555,0.8809,0.8746,0.5464,0.5468,0.7093,0.7093,0.912,0.947,0.5435,0.5431,0.5871,0.5429,0.5431,0.2001,0.2,0.8874,0.8711
